client_code,confirmation_statement_date
TA008,2026-04-13
TA009,2026-11-18
TA010,2026-06-01
TA011,2026-10-18
TE001,2026-08-01
TE003,2026-01-29
TE004,2026-10-07
TE005,2026-04-12
TE007,2026-10-18
TE008,2026-06-03
TH013,2026-03-09
TH016,2026-05-22
TH017,2026-04-13
TI009,2026-04-29
TI010,2026-12-16
TO003,2026-12-02
TO004,2026-03-09
TR001,2026-01-12
TR002,2026-02-28
TR005,2026-01-23
TR006,2026-05-01
TR008,2026-04-13
TR011,2026-10-15
TS001,2026-05-19
TU002,2026-04-27
TU003,2026-05-04
TW002,2026-10-20
TW003,2026-11-08
UK002,2026-05-04
UK003,2026-05-04
UK004,2026-02-07
UN003,2026-09-04
US001,2026-09-01
VA003,2026-01-28
VA006,2026-04-28
VA007,2026-04-12
VD003,2026-11-06
VE005,2026-06-13
VE006,2026-09-07
VI007,2026-02-22
VI012,2026-04-22
WA006,2026-03-18
WH007,2026-04-06
WI012,2026-04-06
WI013,2026-09-26
YA002,2026-03-17
YO001,2026-01-07
YO003,2026-03-31
ZE002,2026-12-12
ZM002,2026-03-07
